iter	MultiClass
0	0.9796670735
1	0.8885373558
2	0.8149312306
3	0.7537364067
4	0.7034009059
5	0.660007677
6	0.6225618459
7	0.5904640006
8	0.5622250397
9	0.5376277951
10	0.5173607018
11	0.4980919607
12	0.4810782109
13	0.4659823448
14	0.4526523268
15	0.4408521378
16	0.4310757286
17	0.4211289882
18	0.4122596677
19	0.4059074586
20	0.3985931047
21	0.3924031545
22	0.3880126715
23	0.3840506467
24	0.3795845882
25	0.3753051815
26	0.3710150765
27	0.3681998366
28	0.3646995098
29	0.3615645026
30	0.3589098239
31	0.356910926
32	0.3549588857
33	0.3531346181
34	0.3509969584
35	0.3498006511
36	0.3487791803
37	0.3476480521
38	0.3466772842
39	0.3454700392
40	0.3446181434
41	0.3443012822
42	0.3436973888
43	0.3426544746
44	0.3419300065
45	0.3414082663
46	0.3408860842
47	0.3404228091
48	0.3403057969
49	0.339533933
50	0.3390719542
51	0.3384071271
52	0.338224636
53	0.3378650056
54	0.3376632978
55	0.3373582324
56	0.3372444833
57	0.3369473378
58	0.3368155684
59	0.3362614086
60	0.3359713413
61	0.3357060997
62	0.3355884073
63	0.3355136389
64	0.3352785822
65	0.3350905654
66	0.3349709846
67	0.334747227
68	0.3345142177
69	0.3343360119
70	0.3341329096
71	0.3339603323
72	0.3337541284
73	0.3335962649
74	0.3334053201
75	0.3332016984
76	0.333046677
77	0.3329203858
78	0.3328199764
79	0.3326912365
80	0.3325559659
81	0.3324304523
82	0.3323278512
83	0.3321479087
84	0.3320305685
85	0.3319326746
86	0.3318151328
87	0.3316808362
88	0.3315856774
89	0.331392767
90	0.3312794855
91	0.3308504274
92	0.3306997979
93	0.3305674146
94	0.3304559579
95	0.3303727436
96	0.3302207096
97	0.3301521532
98	0.3300634355
99	0.3299904751
100	0.3299023368
101	0.3297563136
102	0.3296416799
103	0.3295465875
104	0.3294524087
105	0.3293413628
106	0.3292404514
107	0.3291687618
108	0.3290984018
109	0.3289487734
110	0.3288754378
111	0.328806797
112	0.3287074311
113	0.32860425
114	0.3285357863
115	0.3284490491
116	0.3283230801
117	0.3282329627
118	0.3281230668
119	0.3280719291
120	0.3280068532
121	0.3279350003
122	0.3278817585
